"Tanggal","Terakhir"
"2017-10-05",1322.60
"2017-10-06",1324.30
"2017-10-09",1334.70
"2017-10-10",1343.70
"2017-10-11",1338.80
"2017-10-12",1346.60
"2017-10-13",1354.70
"2017-10-16",1353.90
"2017-10-17",1336.70
"2017-10-18",1333.50
"2017-10-19",1340.10
"2017-10-20",1330.40
"2017-10-23",1331.10
"2017-10-24",1328.40
"2017-10-25",1329.70
"2017-10-26",1320.30
"2017-10-27",1322.00
"2017-10-30",1327.80
"2017-10-31",1320.60
"2017-11-01",1327.50
"2017-11-02",1328.30
"2017-11-03",1319.80
"2017-11-06",1332.40
"2017-11-07",1326.50
"2017-11-08",1334.90
"2017-11-09",1339.40
"2017-11-10",1327.10
"2017-11-13",1332.50
"2017-11-14",1336.30
"2017-11-15",1330.80
"2017-11-16",1331.50
"2017-11-17",1350.10
"2017-11-20",1329.40
"2017-11-21",1336.50
"2017-11-22",1347.10
"2017-11-23",1291.66
"2017-11-24",1342.30
"2017-11-27",1349.40
"2017-11-28",1349.70
"2017-11-29",1337.10
"2017-11-30",1328.00
"2017-12-01",1333.50
"2017-12-04",1328.70
"2017-12-05",1315.80
"2017-12-06",1316.90
"2017-12-07",1303.70
"2017-12-08",1298.80
"2017-12-11",1297.50
"2017-12-12",1292.60
"2017-12-13",1299.40
"2017-12-14",1307.90
"2017-12-15",1308.10
"2017-12-18",1316.30
"2017-12-19",1315.50
"2017-12-20",1321.10
"2017-12-21",1322.00
"2017-12-22",1330.50
"2017-12-25",1277.90
"2017-12-26",1339.20
"2017-12-27",1343.00
"2017-12-28",1350.10
"2017-12-29",1362.60
"2018-01-01",1308.70
"2018-01-02",1370.50
"2018-01-03",1374.20
"2018-01-04",1377.40
"2018-01-05",1378.40
"2018-01-08",1376.80
"2018-01-09",1370.00
"2018-01-10",1377.00
"2018-01-11",1380.10
"2018-01-12",1394.40
"2018-01-14",1337.40
"2018-01-15",1341.80
"2018-01-16",1396.80
"2018-01-17",1399.70
"2018-01-18",1387.40
"2018-01-19",1394.30
"2018-01-22",1394.00
"2018-01-23",1398.20
